SAMPLE_ID	AGE	d13C	d18O	LITHIUM	MAGNESIUM	CALCIUM	MANGANESE	COBALT	COPPER	ZINC	STRONTIUM	BARIUM	AREA	BAY	STATION	DATE	MONTH	YEAR	DEPTH_SHALLOW	DEPTH_DEEP	TEMPERATURE	DO	SALINITY	TURBIDITY	DEPTH_SHALLOW_END	DEPTH_DEEP_END	TEMP_END	DO_END	SALINITY_END	TURBIDITY_END
Cleu_Mat012	0	-6.48	-1.22	12.49494626	22072.65459	0.008634507	101.5265489	0.242238569	64.078646	33.87602959	1965.174072	26.84491751	3	360	180															
Cleu_Mat013	0	-5.77	-0.99	14.34841531	27531.24978	0.010310991	98.89936535	0.322113803	7.556055877	28.32100619	2341.633894	26.39541817	3																	
Cleu_Mat014	0	-4.96	2.05	4.767657361	26138.08662	0.005745894	26.61320614	0.161908178	4.698735697	41.66439213	2484.455501	9.011726105	3	320	158															
Cleu_Mat015	0	-6.43	-0.26	7.671495616	20436.59988	0.008717541	88.62148001	0.075523632	3.557255889	26.15118247	2363.921751	14.52700121	3	320	158															
Cleu_Mat016	1	-6.71	0.14	10.48574118	21802.05677	0.008335933	106.4887798	0.055336577	15.00702426	23.02794094	2425.021218	30.66239276	3	320	158															
Cleu_Mat016	1	-6.95	0.35										3	360	494															
Cleu_Mat017	4												3																	
Cleu_Mat018	0	-5.62	-0.1	3.759658707	24779.09452	0.006815218	105.4019511	0.176863598	2.484427358	38.56587011	1988.742839	26.53435433	3																	
Cleu_Mat019	0	-6.74	-0.24	12.46955628	18431.12835	0.008801328	27.642629	0.137381137	97.71370937	18.48624582	2462.808101	20.29530357	3																	
Cleu_Mat019	1	-5.78	0.46										3																	
Cleu_Mat020	0	-6.5	-0.16	8.866118761	15122.53902	0.007854325	36.61713711	0.071899518	2.067026889	18.38427784	2603.067885	22.72832088	3																	
Cleu_Mat021	0	-5.72	-0.07	12.30023579	17803.11977	0.009857909	112.8361043	0.149057144	33.83393484	22.05873012	2843.366839	21.69937604	3																	
